main_category,brand,price_range,total_views,purchase_count,features,product_id
accessories,a-elita,0-500,5,0,accessories a-elita 0-500,0
accessories,acer,0-500,51,0,accessories acer 0-500,1
accessories,acron,0-500,1,0,accessories acron 0-500,2
accessories,apple,0-500,56,0,accessories apple 0-500,3
accessories,asus,0-500,3,0,accessories asus 0-500,4
accessories,baden,0-500,290,2,accessories baden 0-500,5
accessories,bestlife,0-500,9,0,accessories bestlife 0-500,6
accessories,bestway,0-500,2,0,accessories bestway 0-500,7
accessories,cameron,0-500,1,0,accessories cameron 0-500,8
accessories,canyon,0-500,1,0,accessories canyon 0-500,9
accessories,carpisa,0-500,7,0,accessories carpisa 0-500,10
accessories,coccinelle,0-500,25,1,accessories coccinelle 0-500,11
accessories,coleman,0-500,5,0,accessories coleman 0-500,12
accessories,continent,0-500,76,2,accessories continent 0-500,13
accessories,crown,0-500,7,0,accessories crown 0-500,14
accessories,dam,0-500,3,0,accessories dam 0-500,15
accessories,defender,0-500,9,0,accessories defender 0-500,16
accessories,dell,0-500,2,0,accessories dell 0-500,17
accessories,deluxe,0-500,3,0,accessories deluxe 0-500,18
accessories,dometic,0-500,31,0,accessories dometic 0-500,19
accessories,easycamp,0-500,14,0,accessories easycamp 0-500,20
accessories,ezetil,0-500,11,0,accessories ezetil 0-500,21
accessories,fabretti,0-500,52,0,accessories fabretti 0-500,22
accessories,fisherman,0-500,72,0,accessories fisherman 0-500,23
accessories,flambeau,0-500,24,0,accessories flambeau 0-500,24
accessories,g-cube,0-500,1,0,accessories g-cube 0-500,25
accessories,hoco,0-500,7,0,accessories hoco 0-500,26
accessories,hp,0-500,153,4,accessories hp 0-500,27
accessories,jrc,0-500,1,0,accessories jrc 0-500,28
accessories,karya,0-500,894,13,accessories karya 0-500,29
accessories,keddo,0-500,1,0,accessories keddo 0-500,30
accessories,kingslong,0-500,1,0,accessories kingslong 0-500,31
accessories,korin,0-500,6,0,accessories korin 0-500,32
accessories,lenovo,0-500,126,1,accessories lenovo 0-500,33
accessories,mad,0-500,1,0,accessories mad 0-500,34
accessories,manhattan,0-500,2,0,accessories manhattan 0-500,35
accessories,meizu,0-500,21,0,accessories meizu 0-500,36
accessories,miracase,0-500,2,0,accessories miracase 0-500,37
accessories,miracle,0-500,7,0,accessories miracle 0-500,38
accessories,moliabal,0-500,3,0,accessories moliabal 0-500,39
accessories,muqajankz,0-500,68,0,accessories muqajankz 0-500,40
accessories,neo,0-500,2,0,accessories neo 0-500,41
accessories,nexpero,0-500,6,0,accessories nexpero 0-500,42
accessories,nike,0-500,8,0,accessories nike 0-500,43
accessories,norfin,0-500,2,0,accessories norfin 0-500,44
accessories,omabelle,0-500,9,0,accessories omabelle 0-500,45
accessories,outwell,0-500,4,0,accessories outwell 0-500,46
accessories,persona,0-500,2,0,accessories persona 0-500,47
accessories,petek,0-500,71,1,accessories petek 0-500,48
accessories,picard,0-500,170,0,accessories picard 0-500,49
accessories,plano,0-500,89,0,accessories plano 0-500,50
accessories,portcase,0-500,33,1,accessories portcase 0-500,51
accessories,prologic,0-500,45,0,accessories prologic 0-500,52
accessories,puma,0-500,6,0,accessories puma 0-500,53
accessories,rapala,0-500,2,0,accessories rapala 0-500,54
accessories,respect,0-500,87,1,accessories respect 0-500,55
accessories,rieker,0-500,15,0,accessories rieker 0-500,56
accessories,ritmix,0-500,337,1,accessories ritmix 0-500,57
accessories,rivacase,0-500,51,0,accessories rivacase 0-500,58
accessories,roncato,0-500,58,0,accessories roncato 0-500,59
accessories,samsonite,0-500,4,0,accessories samsonite 0-500,60
accessories,shimano,0-500,18,0,accessories shimano 0-500,61
accessories,shoiberg,0-500,15,0,accessories shoiberg 0-500,62
accessories,soyntec,0-500,7,0,accessories soyntec 0-500,63
accessories,stanley,0-500,22,0,accessories stanley 0-500,64
accessories,sumdex,0-500,65,0,accessories sumdex 0-500,65
accessories,thule,0-500,34,0,accessories thule 0-500,66
accessories,titan,0-500,10,0,accessories titan 0-500,67
accessories,travelite,0-500,9,0,accessories travelite 0-500,68
accessories,trust,0-500,29,0,accessories trust 0-500,69
accessories,tucano,0-500,17,0,accessories tucano 0-500,70
accessories,unknown,0-500,294,2,accessories unknown 0-500,71
accessories,unknown,1k-5k,6,0,accessories unknown 1k-5k,72
accessories,unknown,500-1k,1,0,accessories unknown 500-1k,73
accessories,unknown,unknown,63,0,accessories unknown unknown,74
accessories,vipe,0-500,6,0,accessories vipe 0-500,75
accessories,weekend,0-500,5,0,accessories weekend 0-500,76
accessories,xiaomi,0-500,252,5,accessories xiaomi 0-500,77
apparel,adidas,0-500,508,2,apparel adidas 0-500,78
apparel,ag,0-500,16,0,apparel ag 0-500,79
apparel,aivengo,0-500,39,0,apparel aivengo 0-500,80
apparel,alpina,0-500,70,0,apparel alpina 0-500,81
apparel,ara,0-500,31,0,apparel ara 0-500,82
apparel,asics,0-500,301,0,apparel asics 0-500,83
apparel,atrai,0-500,13,0,apparel atrai 0-500,84
apparel,baden,0-500,1435,7,apparel baden 0-500,85
apparel,baratto,0-500,3,0,apparel baratto 0-500,86
apparel,betsy,0-500,11,0,apparel betsy 0-500,87
apparel,biomecanics,0-500,8,0,apparel biomecanics 0-500,88
apparel,bugatti,0-500,23,0,apparel bugatti 0-500,89
apparel,bumbleride,0-500,1,0,apparel bumbleride 0-500,90
apparel,burgerschuhe,0-500,374,0,apparel burgerschuhe 0-500,91
apparel,burton,0-500,4,0,apparel burton 0-500,92
apparel,caprice,0-500,136,0,apparel caprice 0-500,93
apparel,carpisa,0-500,4,0,apparel carpisa 0-500,94
apparel,carters,0-500,3,0,apparel carters 0-500,95
apparel,catunltd,0-500,40,0,apparel catunltd 0-500,96
apparel,cavaletto,0-500,34,0,apparel cavaletto 0-500,97
apparel,chicco,0-500,11,0,apparel chicco 0-500,98
apparel,converse,0-500,15,0,apparel converse 0-500,99
apparel,covani,0-500,22,0,apparel covani 0-500,100
apparel,cover,0-500,190,0,apparel cover 0-500,101
apparel,crockid,0-500,6,0,apparel crockid 0-500,102
apparel,crosby,0-500,97,3,apparel crosby 0-500,103
apparel,cybex,0-500,5,0,apparel cybex 0-500,104
apparel,cybex,500-1k,1,0,apparel cybex 500-1k,105
apparel,destra,0-500,39,0,apparel destra 0-500,106
apparel,dion,0-500,110,0,apparel dion 0-500,107
apparel,egg,0-500,2,0,apparel egg 0-500,108
apparel,ergo,0-500,11,0,apparel ergo 0-500,109
apparel,ersport,0-500,5,1,apparel ersport 0-500,110
apparel,escan,0-500,208,2,apparel escan 0-500,111
apparel,estomoda,0-500,2,0,apparel estomoda 0-500,112
apparel,etor,0-500,334,1,apparel etor 0-500,113
apparel,fabretti,0-500,14,0,apparel fabretti 0-500,114
apparel,fassen,0-500,318,1,apparel fassen 0-500,115
apparel,fila,0-500,189,0,apparel fila 0-500,116
apparel,fly,0-500,22,1,apparel fly 0-500,117
apparel,garvalin,0-500,41,0,apparel garvalin 0-500,118
apparel,genau,0-500,26,2,apparel genau 0-500,119
apparel,glam-forever,0-500,2,0,apparel glam-forever 0-500,120
apparel,greyder,0-500,771,2,apparel greyder 0-500,121
apparel,harley-davidson,0-500,9,0,apparel harley-davidson 0-500,122
apparel,indiana,0-500,15,0,apparel indiana 0-500,123
apparel,joie,0-500,5,0,apparel joie 0-500,124
apparel,jordan,0-500,183,1,apparel jordan 0-500,125
apparel,keddo,0-500,28,1,apparel keddo 0-500,126
apparel,legre,0-500,27,0,apparel legre 0-500,127
apparel,marcomen,0-500,185,1,apparel marcomen 0-500,128
apparel,maxi-cosi,0-500,3,0,apparel maxi-cosi 0-500,129
apparel,miescarpe,0-500,5,0,apparel miescarpe 0-500,130
apparel,milavitsa,0-500,422,2,apparel milavitsa 0-500,131
apparel,millionaire,0-500,48,0,apparel millionaire 0-500,132
apparel,minimen,0-500,4,0,apparel minimen 0-500,133
apparel,mltl,0-500,70,0,apparel mltl 0-500,134
apparel,nexpero,0-500,638,3,apparel nexpero 0-500,135
apparel,nike,0-500,1263,1,apparel nike 0-500,136
apparel,pablosky,0-500,40,0,apparel pablosky 0-500,137
apparel,peak,0-500,57,0,apparel peak 0-500,138
apparel,persona,0-500,6,0,apparel persona 0-500,139
apparel,puma,0-500,511,5,apparel puma 0-500,140
apparel,quinny,0-500,3,0,apparel quinny 0-500,141
apparel,reebok,0-500,283,1,apparel reebok 0-500,142
apparel,remonte,0-500,61,1,apparel remonte 0-500,143
apparel,respect,0-500,3198,15,apparel respect 0-500,144
apparel,rheinberger,0-500,18,0,apparel rheinberger 0-500,145
apparel,ride,0-500,5,0,apparel ride 0-500,146
apparel,rieker,0-500,1185,1,apparel rieker 0-500,147
apparel,rooman,0-500,203,8,apparel rooman 0-500,148
apparel,salamander,0-500,500,3,apparel salamander 0-500,149
apparel,salomon,0-500,1,0,apparel salomon 0-500,150
apparel,seed,0-500,1,0,apparel seed 0-500,151
apparel,shagovita,0-500,730,4,apparel shagovita 0-500,152
apparel,sly,0-500,30,1,apparel sly 0-500,153
apparel,spur,0-500,24,0,apparel spur 0-500,154
apparel,sterntaler,0-500,4,0,apparel sterntaler 0-500,155
apparel,strobbs,0-500,551,3,apparel strobbs 0-500,156
apparel,suave,0-500,28,0,apparel suave 0-500,157
apparel,tamaris,0-500,103,0,apparel tamaris 0-500,158
apparel,tesoro,0-500,20,0,apparel tesoro 0-500,159
apparel,tuffoni,0-500,45,1,apparel tuffoni 0-500,160
apparel,unknown,0-500,4056,20,apparel unknown 0-500,161
apparel,unknown,unknown,35,0,apparel unknown unknown,162
apparel,vans,0-500,32,0,apparel vans 0-500,163
apparel,weekend,0-500,26,0,apparel weekend 0-500,164
appliances,acme,0-500,1,0,appliances acme 0-500,165
